id,Location,lat-lon,Area,Bed,Bath,Price
249,"Sector 10, Uttara, Dhaka",,"1,320 sqft",3,3,23 Thousand
250,"Mohammadpur, Dhaka",,550 sqft,1,1,13.5 Thousand
251,"Block F, aziz Moholla, Mohammadpur, Dhaka",,650 sqft,2,1,13 Thousand
252,"Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",,750 sqft,3,2,17 Thousand
253,"Mohammadia Housing Society, Mohammadpur, Dhaka",,"2,000 sqft",3,4,32 Thousand
254,"Block D, Mansurabad Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,21 Thousand
255,"Block C, Bashundhara R-A, Dhaka",,"1,850 sqft",3,4,43 Thousand
256,"Mohakhali DOHS, Dhaka",,"2,000 sqft",2,3,74 Thousand
257,"Mohakhali DOHS, Dhaka",,"2,700 sqft",3,4,87 Thousand
258,"Block K, Bashundhara R-A, Dhaka",,"1,200 sqft",3,3,22 Thousand
259,"Block K, Bashundhara R-A, Dhaka",,"1,200 sqft",3,3,21 Thousand
260,"Faydabad, Dakshin Khan, Dhaka",,800 sqft,3,2,9.5 Thousand
261,"Banani, Dhaka",,"1,650 sqft",3,3,64 Thousand
262,"Sector 11, Uttara, Dhaka",,900 sqft,2,2,19 Thousand
263,"Block A, Bashundhara R-A, Dhaka",,"2,100 sqft",3,4,63 Thousand
264,"Sector 10, Uttara, Dhaka",,"1,450 sqft",3,3,32 Thousand
265,"Sector 13, Uttara, Dhaka",,"1,500 sqft",3,4,26 Thousand
266,"Sector 1, Uttara, Dhaka",,"2,000 sqft",2,2,32 Thousand
267,"Jigatola, Hazaribag, Dhaka",,"1,200 sqft",3,3,22 Thousand
268,"Sector 13, Uttara, Dhaka",,"1,500 sqft",3,4,26 Thousand
269,"Block J, Baridhara, Dhaka",,"2,500 sqft",4,5,74 Thousand
270,"Kallyanpur, Mirpur, Dhaka",,"1,372 sqft",3,3,20 Thousand
271,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",,"1,350 sqft",3,3,22 Thousand
272,"Gulshan 1, Gulshan, Dhaka",,"2,450 sqft",3,4,85 Thousand
273,"Baridhara, Dhaka",,"3,000 sqft",3,4,2.25 Lakh
274,"Baridhara, Dhaka",,"3,200 sqft",4,4,2 Lakh
275,"Wari, Sutrapur, Dhaka",,"1,100 sqft",3,2,24 Thousand
276,"Dhanmondi, Dhaka",,"2,200 sqft",3,4,56 Thousand
277,"Gulshan 1, Gulshan, Dhaka",,"2,720 sqft",3,3,84 Thousand
278,"Block J, Bashundhara R-A, Dhaka",,"1,250 sqft",3,3,22 Thousand
279,"Sector 1, Uttara, Dhaka",,"2,840 sqft",4,4,64 Thousand
280,"Dhanmondi, Dhaka",,"1,778 sqft",3,3,47 Thousand
281,"Mohammadpur, Dhaka",,"2,700 sqft",3,4,63 Thousand
282,"Banani, Dhaka",,"2,400 sqft",3,4,84 Thousand
283,"Sector 5, Uttara, Dhaka",,"1,600 sqft",3,3,43 Thousand
284,"Gulshan 2, Gulshan, Dhaka",,"2,200 sqft",3,3,74 Thousand
285,"Block D, Bashundhara R-A, Dhaka",,"1,776 sqft",3,3,32 Thousand
286,"Mirpur, Dhaka",,500 sqft,2,1,8 Thousand
287,"Hatirpool, Dhaka",,"1,500 sqft",3,3,36 Thousand
288,"South Pirerbag, Pirerbag, Mirpur, Dhaka",,600 sqft,2,1,9 Thousand
289,"Gulshan 2, Gulshan, Dhaka",,"3,000 sqft",2,4,1.65 Lakh
290,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",,"1,500 sqft",3,3,28 Thousand
291,"Sector 13, Uttara, Dhaka",,"2,600 sqft",4,4,68 Thousand
292,"Sector 5, Uttara, Dhaka",,800 sqft,2,1,17 Thousand
293,"Block C, Bashundhara R-A, Dhaka",,"2,500 sqft",3,3,46 Thousand
294,"Sector 5, Uttara, Dhaka",,"1,400 sqft",3,3,32 Thousand
295,"Block C, Bashundhara R-A, Dhaka",,"1,410 sqft",3,3,30 Thousand
296,"Sector 12, Uttara, Dhaka",,800 sqft,2,2,14 Thousand
297,"Block C, Section 2, Mirpur, Dhaka",,"1,612 sqft",3,4,27 Thousand
298,"Dhanmondi, Dhaka",,"2,600 sqft",4,5,76 Thousand
299,"Sector 13, Uttara, Dhaka",,500 sqft,1,1,16 Thousand
300,"Sector 5, Uttara, Dhaka",,"1,600 sqft",3,3,41 Thousand
301,"East Merul Badda, Merul Badda, Badda, Dhaka",,"1,300 sqft",3,3,19 Thousand
302,"Sector 5, Uttara, Dhaka",,"1,600 sqft",3,3,42 Thousand
303,"Taltola, Agargaon, Dhaka",,"1,100 sqft",3,3,22 Thousand
304,"Gulshan 2, Gulshan, Dhaka",,"4,500 sqft",6,6,2.80 Lakh
305,"Block J, Bashundhara R-A, Dhaka",,"1,250 sqft",3,3,21 Thousand
306,"Sector 11, Uttara, Dhaka",,"1,500 sqft",3,4,36 Thousand
307,"Block F, Bashundhara R-A, Dhaka",,"2,700 sqft",4,5,40 Thousand
308,"Gawair, Dakshin Khan, Dhaka",,700 sqft,2,2,11 Thousand
309,"Block D, Bashundhara R-A, Dhaka",,"2,400 sqft",4,4,78 Thousand
310,"Sector 5, Uttara, Dhaka",,650 sqft,2,1,16 Thousand
311,"Mollika R/A, Section 7, Mirpur, Dhaka",,"1,050 sqft",3,2,18 Thousand
312,"Mollika R/A, Section 7, Mirpur, Dhaka",,"1,050 sqft",3,2,18 Thousand
313,"Mohammadpur, Dhaka",,"2,700 sqft",3,3,62 Thousand
314,"Eskaton, Dhaka",,"1,600 sqft",3,3,43 Thousand
315,"Sector 12, Uttara, Dhaka",,"1,800 sqft",3,4,28 Thousand
316,"West Shewrapara, Mirpur, Dhaka",,600 sqft,2,2,13 Thousand
317,"Banani, Dhaka",,"2,200 sqft",3,4,57 Thousand
318,"Sector 14, Uttara, Dhaka",,"1,100 sqft",2,2,22 Thousand
319,"Sector 4, Uttara, Dhaka",,"1,500 sqft",3,4,36 Thousand
320,"Block G, Bashundhara R-A, Dhaka",,"2,100 sqft",4,4,55 Thousand
321,"Sector 3, Uttara, Dhaka",,"1,663 sqft",3,3,36 Thousand
322,"Block B, Bashundhara R-A, Dhaka",,"1,950 sqft",3,4,37 Thousand
323,"Block H, Bashundhara R-A, Dhaka",,950 sqft,2,2,19 Thousand
324,"Road No 4, Block G, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,26 Thousand
325,"Badda, Dhaka",,950 sqft,2,2,21 Thousand
326,"Sector 3, Uttara, Dhaka",,"2,250 sqft",3,4,68 Thousand
327,"Gulbag, Malibagh, Dhaka",,750 sqft,2,2,17 Thousand
328,"Jamtola, East Rampura, Rampura, Dhaka",,700 sqft,2,2,12 Thousand
329,"Gulshan 1, Gulshan, Dhaka",,"2,200 sqft",3,3,53 Thousand
330,"Middle Monipur, Mirpur, Dhaka",,400 sqft,1,1,7 Thousand
331,"Baridhara, Dhaka",,"4,700 sqft",4,4,3 Lakh
332,"Banani, Dhaka",,"3,000 sqft",4,5,95 Thousand
333,"Sector 3, Uttara, Dhaka",,"1,700 sqft",3,4,52 Thousand
334,"Tejkunipara, Tejgaon, Dhaka",,"1,200 sqft",3,3,32 Thousand
335,"Gulshan 2, Gulshan, Dhaka",,"3,000 sqft",4,4,1.50 Lakh
336,"Sector 13, Uttara, Dhaka",,"2,015 sqft",4,4,47 Thousand
337,"Sector 12, Uttara, Dhaka",,600 sqft,2,1,12 Thousand
338,"Baridhara, Dhaka",,"2,500 sqft",3,3,1.35 Lakh
339,"Block C, Nobodoy Housing Society, Mohammadpur, Dhaka",,700 sqft,2,2,14 Thousand
340,"South Monipur, Mirpur, Dhaka",,850 sqft,2,2,12 Thousand
341,"West Shewrapara, Mirpur, Dhaka",,700 sqft,2,2,13 Thousand
342,"Block G, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,32 Thousand
343,"Block G, Bashundhara R-A, Dhaka",,"1,600 sqft",3,3,27 Thousand
344,"Block D, Bashundhara R-A, Dhaka",,"1,800 sqft",3,3,32 Thousand
345,"Block K, Bashundhara R-A, Dhaka",,"1,200 sqft",3,3,22 Thousand
346,"Sector 9, Uttara, Dhaka",,800 sqft,2,2,19 Thousand
347,"Block D, Bashundhara R-A, Dhaka",,"1,350 sqft",3,3,26 Thousand
348,"Block D, Bashundhara R-A, Dhaka",,"1,450 sqft",3,3,32 Thousand
349,"Monipuripara, Tejgaon, Dhaka",,"1,600 sqft",3,4,46 Thousand
350,"Gulbag, Malibagh, Dhaka",,600 sqft,2,1,15 Thousand
351,"Road No 5, Sector 10, Uttara, Dhaka",,"1,943 sqft",3,3,30 Thousand
352,"Sector 10, Uttara, Dhaka",,"1,710 sqft",3,4,32 Thousand
353,"Baridhara, Dhaka",,"3,300 sqft",4,4,2.10 Lakh
354,"Block I, Bashundhara R-A, Dhaka",,"1,050 sqft",3,2,28 Thousand
355,"Sector 10, Uttara, Dhaka",,"1,600 sqft",3,4,23 Thousand
356,"Pallabi Extension, Pallabi, Mirpur, Dhaka",,"1,200 sqft",3,3,18 Thousand
357,"Shantibag, Malibagh, Dhaka",,"1,300 sqft",3,3,23 Thousand
358,"Block C, Bashundhara R-A, Dhaka",,"1,215 sqft",3,3,21 Thousand
359,"Block A, Bashundhara R-A, Dhaka",,"2,200 sqft",3,4,43 Thousand
360,"Modhubag, Boro Maghbazar, Maghbazar, Dhaka",,"1,400 sqft",3,3,26 Thousand
361,"Sector 13, Uttara, Dhaka",,"1,500 sqft",3,3,28 Thousand
362,"Block L, Bashundhara R-A, Dhaka",,"1,500 sqft",4,3,18.5 Thousand
363,"Sector 4, Uttara, Dhaka",,"1,550 sqft",3,4,46 Thousand
364,"Baridhara, Dhaka",,"2,700 sqft",3,3,1.15 Lakh
365,"Banani, Dhaka",,"2,200 sqft",3,4,1 Lakh
366,"Dhanmondi, Dhaka",,"2,050 sqft",3,4,63 Thousand
367,"Sector 3, Uttara, Dhaka",,"1,850 sqft",3,4,68 Thousand
368,"Block H, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,21 Thousand
369,"Block B, Bashundhara R-A, Dhaka",,"1,400 sqft",3,3,32 Thousand
370,"South Pirerbag, Pirerbag, Mirpur, Dhaka",,600 sqft,2,1,9.5 Thousand
371,"Dhanmondi, Dhaka",,"1,500 sqft",3,3,32 Thousand
372,"Sector 11, Uttara, Dhaka",,"1,480 sqft",3,4,37 Thousand
373,"Road No 5, Sector 10, Uttara, Dhaka",,"2,150 sqft",3,3,36 Thousand
374,"Banani, Dhaka",,"3,245 sqft",4,4,1.15 Lakh
375,"Banani, Dhaka",,"3,245 sqft",4,4,1.15 Lakh
376,"Banani, Dhaka",,"3,245 sqft",4,4,1.15 Lakh
377,"Block J, Baridhara, Dhaka",,"3,100 sqft",4,4,1.55 Lakh
378,"Banani, Dhaka",,"3,245 sqft",4,4,1.15 Lakh
379,"Avenue 1, Mirpur DOHS, Mirpur, Dhaka",,"1,165 sqft",2,3,27 Thousand
380,"Nikunja 2, Nikunja, Dhaka",,"1,500 sqft",3,3,28 Thousand
381,"Block D, Section 12, Mirpur, Dhaka",,950 sqft,3,2,14.5 Thousand
382,"Sector 4, Uttara, Dhaka",,"1,530 sqft",3,4,31 Thousand
383,"South Pirerbag, Pirerbag, Mirpur, Dhaka",,600 sqft,1,1,8 Thousand
384,"Block A, Niketan, Dhaka",,"1,750 sqft",3,2,1.15 Lakh
385,"Block I, Bashundhara R-A, Dhaka",,"2,250 sqft",3,4,32 Thousand
386,"Malibagh, Dhaka",,800 sqft,2,2,18 Thousand
387,"Block A, Bashundhara R-A, Dhaka",,"1,450 sqft",3,3,1.25 Lakh
388,"Cantonment, Dhaka",,"1,450 sqft",3,4,32 Thousand
389,"Sector 10, Uttara, Dhaka",,"1,050 sqft",3,2,17 Thousand
390,"Block D, Bashundhara R-A, Dhaka",,"1,250 sqft",3,3,32 Thousand
391,"Sector 10, Uttara, Dhaka",,"1,600 sqft",3,3,21 Thousand
392,"Block C, Bashundhara R-A, Dhaka",,"1,700 sqft",3,3,32 Thousand
393,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",,950 sqft,2,3,22 Thousand
394,"Block H, Banasree, Dhaka",,"1,550 sqft",4,4,32 Thousand
395,"Niketan, Dhaka",,"2,075 sqft",3,4,46 Thousand
396,"Sector 10, Uttara, Dhaka",,"1,400 sqft",3,3,23 Thousand
397,"Sector 12, Uttara, Dhaka",,850 sqft,2,2,17 Thousand
398,"Block C, Bashundhara R-A, Dhaka",,"2,600 sqft",3,4,43 Thousand
399,"Shahbagh, Dhaka",,600 sqft,1,1,18 Thousand
400,"Dhanmondi, Dhaka",,850 sqft,3,3,26 Thousand
401,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",,950 sqft,2,3,23 Thousand
402,"PC Culture Housing, Mohammadpur, Dhaka",,750 sqft,2,2,14 Thousand
403,"Sector 11, Uttara, Dhaka",,"1,500 sqft",4,3,42 Thousand
404,"Sector 11, Uttara, Dhaka",,"1,500 sqft",4,3,43 Thousand
405,"Sector 11, Uttara, Dhaka",,"1,500 sqft",4,4,42 Thousand
406,"Block D, Bashundhara R-A, Dhaka",,"3,000 sqft",3,5,57 Thousand
407,"Baridhara DOHS, Dhaka",,"1,500 sqft",3,3,60 Thousand
408,"Sector 11, Uttara, Dhaka",,"1,500 sqft",4,4,43 Thousand
409,"Sector 11, Uttara, Dhaka",,"1,500 sqft",4,4,43 Thousand
410,"Banasree, Dhaka",,"1,200 sqft",3,3,21 Thousand
411,"Sector 4, Uttara, Dhaka",,"1,875 sqft",3,3,54 Thousand
412,"Nikunja 2, Nikunja, Dhaka",,"1,500 sqft",3,3,47 Thousand
413,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,22 Thousand
414,"Block E, Banasree, Dhaka",,"1,075 sqft",3,2,20 Thousand
415,"Baridhara, Dhaka",,"2,500 sqft",4,4,1.65 Lakh
416,"Gulshan 2, Gulshan, Dhaka",,"2,250 sqft",3,3,1.20 Lakh
417,"Uttar Badda, Badda, Dhaka",,"1,250 sqft",3,3,23 Thousand
418,"Sector 4, Uttara, Dhaka",,"1,300 sqft",3,3,29.5 Thousand
419,"Khilkhet, Dhaka",,750 sqft,2,2,13 Thousand
420,"Baridhara, Dhaka",,"4,000 sqft",4,4,2.70 Lakh
421,"Block D, Bashundhara R-A, Dhaka",,"1,250 sqft",3,3,22 Thousand
422,"Pirerbag, Mirpur, Dhaka",,970 sqft,3,3,14 Thousand
423,"Block B, Bashundhara R-A, Dhaka",,"2,100 sqft",4,5,69 Thousand
424,"Baridhara DOHS, Dhaka",,"1,350 sqft",3,3,74 Thousand
425,"Block C, Bashundhara R-A, Dhaka",,"1,700 sqft",3,3,32 Thousand
426,"Mohammadi Housing LTD., Mohammadpur, Dhaka",,"1,600 sqft",3,3,28 Thousand
427,"Uttar Badda, Badda, Dhaka",,"1,765 sqft",3,3,21 Thousand
428,"Block F, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,27 Thousand
429,"Gulshan 1, Gulshan, Dhaka",,"2,600 sqft",4,4,88 Thousand
430,"Malibagh, Dhaka",,700 sqft,2,2,21 Thousand
431,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,21 Thousand
432,"Cantonment, Dhaka",,"1,350 sqft",3,4,24 Thousand
433,"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",,"1,000 sqft",3,2,17 Thousand
434,"Banani, Dhaka",,"1,600 sqft",3,3,48 Thousand
435,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,22 Thousand
436,"Uttara, Dhaka",,900 sqft,3,3,32 Thousand
437,"Block A, Chad Uddan Housing, Mohammadpur, Dhaka",,950 sqft,3,2,16 Thousand
438,"Block G, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,52 Thousand
439,"Block H, Banasree, Dhaka",,"1,550 sqft",4,4,31 Thousand
440,"Gulshan 2, Gulshan, Dhaka",,"2,200 sqft",3,3,94 Thousand
441,"Dhanmondi, Dhaka",,"1,200 sqft",3,3,35 Thousand
442,"Monipuripara, Tejgaon, Dhaka",,900 sqft,2,2,19 Thousand
443,"Block C, Bashundhara R-A, Dhaka",,"1,320 sqft",3,4,26 Thousand
444,"Tejgaon, Dhaka",,950 sqft,3,2,25 Thousand
445,"Uttara, Dhaka",,"1,800 sqft",3,3,32 Thousand
446,"Block G, Bashundhara R-A, Dhaka",,"1,600 sqft",3,3,27 Thousand
447,"Gulshan 2, Gulshan, Dhaka",,"3,800 sqft",3,4,3.10 Lakh
448,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,22 Thousand
449,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,22 Thousand
450,"Mirpur, Dhaka",,"1,350 sqft",3,3,22 Thousand
451,"Mirpur, Dhaka",,"1,000 sqft",2,3,14 Thousand
452,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,21 Thousand
453,"Block C, Bashundhara R-A, Dhaka",,"1,810 sqft",3,3,32 Thousand
454,"East Goran, Goran, Khilgaon, Dhaka",,980 sqft,2,2,10 Thousand
455,"Khilgaon, Dhaka",,700 sqft,2,2,13.5 Thousand
456,"Mohammadpur, Dhaka",,750 sqft,2,2,26 Thousand
457,"Sector 3, Uttara, Dhaka",,"1,500 sqft",3,3,27 Thousand
458,"Mohammadpur, Dhaka",,750 sqft,2,2,15 Thousand
459,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",,"1,400 sqft",3,3,19.5 Thousand
460,"Mirpur, Dhaka",,"1,350 sqft",3,3,22 Thousand
461,"Baridhara, Dhaka",,"3,200 sqft",4,4,2.10 Lakh
462,"Block B, Aftab Nagar, Dhaka",,"1,200 sqft",3,2,22 Thousand
463,"Sector 11, Uttara, Dhaka",,900 sqft,2,2,22 Thousand
464,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,23 Thousand
465,"Block H, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,27 Thousand
466,"Section 12, Mirpur, Dhaka",,"1,600 sqft",3,3,20 Thousand
467,"Lalmatia, Dhaka",,"1,580 sqft",3,3,36 Thousand
468,"Block H, Bashundhara R-A, Dhaka",,"2,045 sqft",3,4,1.1 Lakh
469,"Gulshan 2, Gulshan, Dhaka",,"4,200 sqft",4,4,2.55 Lakh
470,"Mohammadi Housing LTD., Mohammadpur, Dhaka",,"1,100 sqft",3,3,17.5 Thousand
471,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,21 Thousand
472,"Block D, Bashundhara R-A, Dhaka",,"2,800 sqft",4,4,53 Thousand
473,"Sector 10, Uttara, Dhaka",,800 sqft,2,2,17 Thousand
474,"Block C, Bashundhara R-A, Dhaka",,"1,700 sqft",3,3,32 Thousand
475,"South Monipur, Mirpur, Dhaka",,"1,150 sqft",3,2,16 Thousand
476,"Block G, Bashundhara R-A, Dhaka",,"1,550 sqft",3,3,22 Thousand
477,"Block F, Bashundhara R-A, Dhaka",,"1,735 sqft",3,3,34 Thousand
478,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,550 sqft",3,3,32 Thousand
479,"Mohammadpur, Dhaka",,"2,700 sqft",3,3,64 Thousand
480,"Malibagh, Dhaka",,700 sqft,2,2,21 Thousand
481,"Baridhara, Dhaka",,"4,200 sqft",4,4,4.10 Lakh
482,"Mohammadia Housing Society, Mohammadpur, Dhaka",,"1,550 sqft",3,3,35 Thousand
483,"Block H, Bashundhara R-A, Dhaka",,"1,450 sqft",3,3,27 Thousand
484,"Sector 6, Uttara, Dhaka",,"2,900 sqft",4,4,85 Thousand
485,"Block K, Baridhara, Dhaka",,"2,800 sqft",4,4,1.25 Lakh
486,"Gulshan 2, Gulshan, Dhaka",,"2,350 sqft",3,4,85 Thousand
487,"Baridhara, Dhaka",,"3,200 sqft",4,4,2.10 Lakh
488,"Banani, Dhaka",,"3,000 sqft",4,5,1.25 Lakh
489,"Sector 9, Uttara, Dhaka",,"2,000 sqft",3,3,38 Thousand
490,"Gulshan 1, Gulshan, Dhaka",,"2,800 sqft",3,3,88 Thousand
491,"Sector 3, Uttara, Dhaka",,"1,550 sqft",3,3,31 Thousand
492,"Sector 1, Uttara, Dhaka",,"2,600 sqft",4,4,53 Thousand
493,"Section 10, Mirpur, Dhaka",,650 sqft,2,2,15 Thousand
494,"Sector 14, Uttara, Dhaka",,900 sqft,3,2,22 Thousand
495,"Gulshan 1, Gulshan, Dhaka",,"2,100 sqft",3,3,64 Thousand
496,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",,"1,100 sqft",3,2,18 Thousand
497,"Dhanmondi, Dhaka",,"1,600 sqft",3,4,38 Thousand
498,"Banani, Dhaka",,"2,700 sqft",3,3,1.45 Lakh